Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector,Daily_Return,Log_Return,Intraday_Volatility,Volatility_30d,Volatility_90d,Avg_Return_30d,Drawdown_30d,Price_Momentum_30d,Days_from_Event,Event_Name,Event_Date,Event_Type,Event_Period
2023-07-18 04:00:00,140.1859845872514,143.307970810833,139.9105131541326,141.17767333984375,6798300,0.0,0.0,CVX,Energy,0.002020454940259153,0.0020184165663429897,0.024065120045731622,0.1932852451262857,0.2308210675130161,-0.11790130096558839,-0.038040377222269356,-0.01606282840328932,0,European Heat Wave,2023-07-18,Heat Wave,Event Day
2023-07-19 04:00:00,141.2511247475179,143.0416679374994,140.7460961526364,142.04080200195312,5653100,0.0,0.0,CVX,Energy,0.006113775937018451,0.006095162635425061,0.01616135471293266,0.1937473713010765,0.2297105638555094,-0.026227961435002764,-0.03215917162814761,-0.005272848314780809,1,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-20 04:00:00,143.39058075954696,144.3363550915236,142.97738069400336,143.61094665527344,5866600,0.0,0.0,CVX,Energy,0.011054180426964377,0.010993529529161859,0.009462888652787292,0.19637625948097331,0.23031571593872566,0.051501439932951996,-0.021460484486742492,0.003915314601704356,2,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-21 04:00:00,144.64856594528555,145.8422660571272,144.21699733553467,145.71371459960938,8760100,0.0,0.0,CVX,Energy,0.014642114638959036,0.014535953902200142,0.011153848668661216,0.1859734878745622,0.23138414786308203,-0.043336278571594056,-0.005950973818900486,-0.007132596721845963,3,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-24 04:00:00,147.3481693901862,150.62623875877227,146.92577799815086,148.58778381347656,9722100,0.0,0.0,CVX,Energy,0.019724081715743358,0.01953208258043804,0.024904205888598683,0.19431810408579026,0.2327190188393938,0.15335268525372628,0.0,0.016201877717231694,6,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-25 04:00:00,148.6704146300158,150.13957216759542,147.5226287360982,149.2672576904297,6767600,0.0,0.0,CVX,Energy,0.004572878466281516,0.004562454623445165,0.017531932132930216,0.1944328145907527,0.2208165483070875,0.21181071208623936,0.0,0.023290837341032322,7,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-26 04:00:00,147.7246258520097,148.83567464341013,147.4216087240668,148.14700317382812,6056400,0.0,0.0,CVX,Energy,-0.007505025106878449,-0.0075333295135872926,0.009545018724976411,0.19353330502200633,0.22121645628588488,0.22967091208417148,-0.007505025106878399,0.025487731753582432,8,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-27 04:00:00,148.83568969657543,149.18462109332594,146.20037775664574,146.60440063476562,6470100,0.0,0.0,CVX,Energy,-0.010412647613617154,-0.010467238516671614,0.020355755514562146,0.1951904154321077,0.2208674793429212,0.0792050248043103,-0.017839525538726315,0.007255316784537946,9,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-10 04:00:00,106.60237155656051,107.4365933346313,106.10558145334248,106.86482238769533,1974800,0.0,0.0,DLR,Real Estate,0.0018454086688648452,0.0018437079942589466,0.012455098427619455,0.3115358050278074,0.3814459752431959,2.4758498863024627,-0.01118826035671356,0.33368620304195407,-8,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-11 04:00:00,107.62406269230266,109.9392653306371,106.98667899896056,109.12378692626952,2653400,0.0,0.0,DLR,Real Estate,0.021138523305441748,0.020918204127950514,0.02705722019775106,0.26440621515416424,0.37840945584386554,2.096908663197165,0.0,0.2772592048724738,-7,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
